epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,1218.41,0.91014,0.57696,0.97919,0.8318,0.87069,0.8752,0.61933,1.05945,0.60915,1.12036,0.0003095,0.0003095,0.0003095
78,1233.47,0.89943,0.57411,0.9775,0.83427,0.85754,0.87147,0.61173,1.07769,0.61734,1.128,0.000297125,0.000297125,0.000297125
79,1248.81,0.89006,0.55634,0.96714,0.84377,0.83497,0.87701,0.61898,1.069,0.615,1.12815,0.00028475,0.00028475,0.00028475
80,1264.03,0.88935,0.54684,0.96882,0.85123,0.85238,0.87936,0.6226,1.0573,0.60116,1.11852,0.000272375,0.000272375,0.000272375
81,1279.15,0.90333,0.57612,0.97744,0.85308,0.82713,0.86715,0.61462,1.06116,0.60144,1.12766,0.00026,0.00026,0.00026
82,1294.31,0.879,0.53485,0.96366,0.84984,0.83113,0.87431,0.62118,1.06374,0.62715,1.11442,0.000247625,0.000247625,0.000247625
83,1309.36,0.88401,0.5604,0.96796,0.86013,0.84515,0.87777,0.62705,1.04977,0.59988,1.11166,0.00023525,0.00023525,0.00023525
84,1324.73,0.86199,0.54089,0.96308,0.82853,0.85444,0.86763,0.61736,1.05799,0.62815,1.11734,0.000222875,0.000222875,0.000222875
85,1341.11,0.86641,0.55295,0.9603,0.86714,0.81169,0.88182,0.62626,1.05845,0.5979,1.12962,0.0002105,0.0002105,0.0002105
86,1356.76,0.87988,0.54751,0.96905,0.8454,0.86223,0.88713,0.62547,1.05318,0.60247,1.12212,0.000198125,0.000198125,0.000198125
87,1372.39,0.83814,0.51468,0.95264,0.86895,0.82627,0.88011,0.62858,1.04167,0.59552,1.11593,0.00018575,0.00018575,0.00018575
88,1388.08,0.85028,0.53365,0.95432,0.85215,0.83861,0.88312,0.63179,1.04234,0.60071,1.11689,0.000173375,0.000173375,0.000173375
89,1403.48,0.86418,0.52923,0.96764,0.89017,0.80745,0.87487,0.62964,1.04169,0.60249,1.10948,0.000161,0.000161,0.000161
90,1418.94,0.84716,0.52314,0.95176,0.84544,0.85622,0.87315,0.6301,1.04102,0.60027,1.11298,0.000148625,0.000148625,0.000148625
91,1458.37,0.77915,0.42358,0.94583,0.85618,0.8458,0.87542,0.62586,1.04142,0.6035,1.11488,0.00013625,0.00013625,0.00013625
92,1473.59,0.77369,0.41925,0.94169,0.88125,0.82017,0.8782,0.62792,1.03518,0.60175,1.11193,0.000123875,0.000123875,0.000123875
93,1488.76,0.76227,0.41075,0.93426,0.85546,0.85625,0.88038,0.63537,1.02545,0.59115,1.10742,0.0001115,0.0001115,0.0001115
94,1504.03,0.75761,0.40517,0.93279,0.82999,0.86823,0.88139,0.63874,1.02254,0.60144,1.10192,9.9125e-05,9.9125e-05,9.9125e-05
95,1519.33,0.76065,0.40333,0.93065,0.89068,0.81671,0.87319,0.6258,1.03127,0.60098,1.11324,8.675e-05,8.675e-05,8.675e-05
96,1534.58,0.7537,0.42096,0.93091,0.88883,0.81921,0.87046,0.62198,1.02898,0.60015,1.10919,7.4375e-05,7.4375e-05,7.4375e-05
97,1549.8,0.73791,0.40839,0.92451,0.88469,0.83902,0.87092,0.62738,1.02475,0.5892,1.10907,6.2e-05,6.2e-05,6.2e-05
98,1565,0.73196,0.39737,0.92056,0.86664,0.84582,0.87122,0.6251,1.02415,0.59008,1.11008,4.9625e-05,4.9625e-05,4.9625e-05
99,1580.19,0.72609,0.4191,0.91608,0.87368,0.83507,0.87558,0.63249,1.0183,0.58651,1.10588,3.725e-05,3.725e-05,3.725e-05
100,1595.24,0.72912,0.3926,0.91402,0.85469,0.85009,0.87546,0.63192,1.01851,0.58851,1.10929,2.4875e-05,2.4875e-05,2.4875e-05
